user_id,phone_number,is_fraudster,fraud_type,initial_balance,amount_mu,amount_sigma,hours_between_txns,pref_transfer,pref_debit,pref_payment,pref_weekend,pref_night,pref_hour,min_balance_threshold,max_balance_target,accepts_fees,typical_recipients,pref_cashout,fraud_start_day
USER_000000,233230190247,False,legitimate,70.43594078537794,2.993862542223505,0.8273646419397739,0.7676992987928511,0.6515661187268592,0.16688303793972548,0.15784712289741784,0.17751912806657344,0.10290452021626025,14,47.63847208690971,1119.7584553861882,False,15,,
USER_000001,233254141532,False,legitimate,268.2056149898468,2.896239604506487,1.1565572340047667,5.865491051892188,0.5344078781665347,0.2656902236129862,0.08373165261628858,0.3287119841029583,0.06333578949654112,12,76.55465422173441,1276.9908184654264,True,24,,
USER_000002,233387564241,False,legitimate,156.38370232843138,2.9880313355501524,0.9067282714079568,4.7588514643551,0.5115116980316685,0.21524403644718354,0.15223933011362684,0.16693514074576105,0.009020088900010154,20,15.046952670693656,1609.9727158721644,False,30,,
USER_000003,233472283720,False,legitimate,180.427797168212,3.1545082962703592,1.140619156429504,12.942099444602063,0.42655600569105434,0.27008780851440956,0.18452314919763213,0.19854643240469266,0.06546777726996879,20,57.12613656473134,1999.1603232005189,False,17,,
USER_000004,233223552416,False,legitimate,403.3515774490603,2.3086936261835382,1.0699516199737542,4.1005165801058645,0.6026091956407913,0.2693531640724088,0.14932111724763486,0.22725400237034604,0.06616596481231855,20,10.799887518622672,833.5761025486801,False,32,,
USER_000005,233281291971,False,legitimate,70.96299020019282,2.3073299912427068,0.9126136783093393,21.503003323008166,0.4870512736893928,0.3854140798257699,0.18084913195331848,0.051073922968373785,0.1382192037837667,10,24.859469520011594,1520.0025766435842,True,21,,
USER_000006,233507864259,False,legitimate,259.7413059484452,2.638412773357785,0.8946348961553189,13.721028781963945,0.4527641149404028,0.24760297948436194,0.05,0.20868938976992457,0.09199738334611175,18,53.37198754513697,1509.860378559868,False,47,,
USER_000007,233368763584,False,legitimate,201.69565413511617,3.2188332646035938,1.1305422573415287,10.082813369226589,0.5922971498974904,0.37394195170542616,0.1285347503211216,0.5123827204440696,0.03391164210116345,14,51.66191238618606,700.41024262004,False,13,,
USER_000008,233525212718,False,legitimate,55.89278363719902,2.66001752977619,0.9807414044887198,4.631973821516331,0.5658102081649593,0.30027456132072905,0.08797557949137744,0.05861797791395036,0.10865641407730803,12,32.71748375927425,1814.8027921907894,True,35,,
USER_000009,233488137370,False,legitimate,341.61823115606853,2.8137806393316,1.1216450876613502,4.984019439346856,0.6028343150521156,0.19057307111641958,0.19323965585616806,0.34937248199652465,0.09560392729184683,12,44.60184213986502,949.2795344288289,False,26,,
